"商品コード","商品名","JANコード","賞味期限管理区分","出荷可能残日数"
"0422-1","ウフマヨネーズ【製品数】","2800002920157",,
"2601-1","チキンホワイト【製品数】","2800012600056",,
"2610-1","粗挽きソーセージ【製品数】","2800012600018",,
"2624-1","大江ノ郷ベーコン(うす切）ﾌﾞﾛｯｸ【製品数】","2800012600148",,
"2740-1","大江ノ郷ささみの燻製【製品数】","2800012600353",,
"5765-1","風紋まんじゅう桜こしあん(5個入)[製品数]","2800010500334",,
"700-05-01","ﾀﾌﾞﾚｯﾄﾋﾞﾀｰ ｶﾞｰﾅ70【製品数】","2800021650110",,
"70001-4","定期Ｍ４個ﾊﾟｯｸ","2800001000119",,
"7003","Ｍｻｲｽﾞﾊﾟｯｸ","2800001000010",,
"70044","若たまごﾊﾟｯｸ","2800001000157",,
"70044-4","MSたまご４個ﾊﾟｯｸ","2800001000140",,
"7005","御礼ｻｲｽﾞﾊﾟｯｸ","2800001000263",,
"7007","SET用・Ｍﾊﾟｯｸ","2800001000010",,
"7012","進物用15小箱","2800001000058",,
"7089","玉子丼(ﾊﾞﾗ)【数量】","2800002920126",,
"7090","たまごｽｰﾌﾟ10食入箱【数量】","2800002920058",,
"710-02-01","ｱﾏﾝﾄﾞｼｮｺﾗ【製品数】","2800021650288",,
"7152","玉子丼5食入箱【数量】","2800002920140",,
"7988","たまご掛け醤油数量","2800002920010",,
